Países,Salario Medio Mon. Local,Divisa,Salario Medio,Var.
España [+],28.360,€,28.360 €,"2,86%"
Alemania [+],55.041,€,55.041 €,"4,24%"
Reino Unido [+],44.300,£,51.949 €,"6,63%"
Francia [+],41.540,€,41.540 €,"5,36%"
Italia [+],33.855,€,33.855 €,"5,70%"
Portugal [+],21.606,€,21.606 €,"4,48%"
Estados Unidos [+],64.889,$,61.623 €,"17,22%"
Japón [+],5.165.693,¥,37.340 €,"-4,67%"
Austria [+],52.666,€,52.666 €,"4,40%"
Australia [+],94.685,$,62.428 €,"5,43%"
Bélgica [+],55.332,€,55.332 €,"7,80%"
Bulgaria [+],5.080,лв,10.840 €,"15,67%"
Canadá [+],81.704,$,59.660 €,"13,37%"
Suiza [+],100.392,CHF,100.413 €,"10,85%"
Chile [+],11.492.895,$,12.525 €,"4,13%"
Colombia [+],21.137.925,$,4.714 €,"10,31%"
Costa Rica [+],9.445.151,₡,13.912 €,"16,69%"
Chipre [+],24.342,€,24.342 €,"4,72%"
Chequia [+],472.783,Kč,19.245 €,"11,70%"
Dinamarca [+],468.195,kr,62.933 €,"3,59%"
Estonia [+],19.996,€,19.996 €,"8,15%"
Finlandia [+],50.774,€,50.774 €,"2,59%"
Grecia [+],19.912,€,19.912 €,"1,52%"
Croacia [+],,,15.315 €,"5,42%"
Hungría [+],6.276.792,Ft,16.172 €,"6,75%"
Irlanda [+],54.649,€,54.649 €,"4,82%"
Israel [+],172.609,₪,48.835 €,"10,91%"
Islandia [+],10.959.626,kr,77.050 €,"11,70%"
Corea del Sur [+],49.775.096,₩,36.651 €,"2,11%"
Lituania [+],20.667,€,20.667 €,"11,35%"
Luxemburgo [+],70.189,€,70.189 €,"7,13%"
Letonia [+],16.758,€,16.758 €,"9,70%"
Malta [+],24.487,€,24.487 €,"2,24%"
México [+],154.646,$,7.299 €,"13,99%"
Países Bajos [+],57.513,€,57.513 €,"2,88%"
Noruega [+],666.115,kr,65.935 €,"4,94%"
Nueva Zelanda [+],70.588,$,42.569 €,"7,94%"
Polonia [+],72.945,zł,15.566 €,"10,87%"
Rumanía [+],,,14.181 €,"10,87%"
Suecia [+],494.513,kr,46.522 €,"-0,89%"
Eslovenia [+],23.332,€,23.332 €,"4,74%"
Eslovaquia [+],15.538,€,15.538 €,"7,62%"
Türkiye [+],137.340,₤,7.889 €,"-4,66%"
